,images,labels
6771,b'clock_s_000001.png',5
6776,b'keyboard_s_000986.png',5
6788,b'dessert_plate_s_000018.png',3
6793,b'soda_can_s_000667.png',3
6794,b'orchid_s_001933.png',2
6795,b'keyboard_s_000836.png',5
6797,b'pear_s_001783.png',4
6799,b'turbot_s_000701.png',1
6800,b'bell_morel_s_000002.png',4
6801,b'tulip_s_000827.png',2
6803,b'apple_s_000528.png',4
6806,b'rose_s_001068.png',2
6810,b'plate_s_002407.png',3
6812,b'soda_can_s_000568.png',3
6815,b'guitarfish_s_000249.png',1
6823,b'rose_s_000407.png',2
6824,b'sweet_pepper_s_000845.png',4
6830,b'poppy_s_001232.png',2
6843,b'electric_lamp_s_000716.png',5
6844,b'bowl_s_000054.png',3
6845,b'mushroom_s_002447.png',4
6848,b'verpa_s_000529.png',4
6850,b'saucer_s_000867.png',3
6851,b'macoun_s_000598.png',4
6857,b'discharge_lamp_s_000385.png',5
6864,b'dessert_plate_s_000257.png',3
6865,b'poppy_s_001276.png',2
6869,b'plate_s_000729.png',3
6872,b'soda_bottle_s_001418.png',3
6876,b'poppy_s_000043.png',2
6881,b'clock_s_002065.png',5
6890,b'trout_s_000086.png',1
6892,b'shark_s_000891.png',1
6893,b'cichlid_s_000248.png',1
6897,b'poppy_s_000556.png',2
6899,b'bell_pepper_s_000165.png',4
6905,b'shark_s_001202.png',1
6911,b'plate_iron_s_000958.png',3
6919,b'stingray_s_000150.png',1
6928,b'stingray_s_002050.png',1
6933,b'ketchup_bottle_s_000003.png',3
6934,b'bigarade_s_000144.png',4
6944,b'television_s_000178.png',5
6945,b'inkpot_s_000191.png',3
6947,b'winter_flounder_s_000008.png',1
6950,b'television_system_s_000683.png',5
6954,b'poppy_s_000104.png',2
6955,b'citrus_aurantium_s_000279.png',4
6956,b'lady_tulip_s_000279.png',2
6957,b'computer_keyboard_s_000664.png',5
6958,b'lamp_s_001758.png',5
6961,b'sunflower_s_000557.png',2
6962,b'beer_bottle_s_000011.png',3
6965,b'soda_can_s_000203.png',3
6968,b'alarm_clock_s_000261.png',5
6971,b'sweet_pepper_s_001684.png',4
6972,b'tin_can_s_001106.png',3
6978,b'stingray_s_001496.png',1
6980,b'television_s_002781.png',5
6981,b'pear_s_001083.png',4
6982,b'poppy_s_001902.png',2
6984,b'morchella_esculenta_s_001060.png',4
6986,b'bosc_s_000242.png',4
6987,b'tv_s_000815.png',5
6992,b'bartlett_pear_s_000630.png',4
6995,b'rose_s_001336.png',2
7005,b'fishbowl_s_002460.png',3
7006,b'bowl_s_002548.png',3
7011,b'tv_s_001476.png',5
7013,b'television_s_001854.png',5
7019,b'lady_tulip_s_000779.png',2
7021,b'tulip_s_002108.png',2
7025,b'pearmain_s_000142.png',4
7027,b'sunflower_s_000439.png',2
7029,b'guitarfish_s_000186.png',1
7036,b'shark_s_000243.png',1
7042,b'morel_s_000235.png',4
7044,b'tangerine_s_000435.png',4
7045,b'mushroom_s_000778.png',4
7049,b'poppy_s_001148.png',2
7051,b'rainbow_trout_s_001734.png',1
7057,b'alarm_clock_s_000694.png',5
7058,b'carassius_auratus_s_000568.png',1
7060,b'keyboard_s_001233.png',5
7062,b'goblet_s_000990.png',3
7064,b'poppy_s_000230.png',2
7067,b'bartlett_pear_s_000485.png',4
7069,b'rosebush_s_000560.png',2
7075,b'rose_s_000599.png',2
7080,b'gray_sole_s_000315.png',1
7086,b'rose_s_001219.png',2
7091,b'telephone_s_000428.png',5
7094,b'anjou_s_001382.png',4
7100,b'whiskey_bottle_s_000168.png',3
7106,b'beer_bottle_s_000766.png',3
7117,b'rosebush_s_001379.png',2
7130,b'television_system_s_000485.png',5
7135,b'carassius_auratus_s_000041.png',1
7136,b'golden_delicious_s_000867.png',4
7141,b'cup_s_000453.png',3
7142,b'bowl_s_001859.png',3
7143,b'macoun_s_001040.png',4
7146,b'mountain_rose_s_000074.png',2
7155,b'apple_s_000339.png',4
7157,b'temple_orange_s_000203.png',4
7160,b'poppy_s_001485.png',2
7164,b'stingray_s_002135.png',1
7176,b'bigarade_s_000076.png',4
7177,b'mushroom_s_001061.png',4
7179,b'bowl_s_000732.png',3
7181,b'rose_s_000037.png',2
7187,b'saucer_s_001416.png',3
7196,b'bell_pepper_s_000668.png',4
7198,b'rose_s_001241.png',2
7199,b'coffee_can_s_000925.png',3
7230,b'rose_s_000543.png',2
7233,b'sponge_mushroom_s_000020.png',4
7234,b'yellow_delicious_s_000128.png',4
7245,b'porbeagle_s_000193.png',1
7246,b'beer_bottle_s_000354.png',3
7249,b'lemon_sole_s_000170.png',1
7251,b'orchid_s_000028.png',2
7256,b'chalice_s_001253.png',3
7259,b'orchid_s_001206.png',2
7266,b'yellow_delicious_s_000494.png',4
7269,b'bartlett_pear_s_000516.png',4
7275,b'orchid_s_000256.png',2
7277,b'trout_s_002250.png',1
7278,b'rainbow_trout_s_001411.png',1
7279,b'stingray_s_000904.png',1
7291,b'tin_can_s_001186.png',3
7295,b'computer_keyboard_s_001932.png',5
7296,b'poppy_s_000698.png',2
7297,b'chalice_s_001865.png',3
7299,b'bowl_s_002274.png',3
7302,b'bowl_s_001662.png',3
7304,b'goblet_s_000936.png',3
7316,b'pear_s_001438.png',4
7319,b'trout_s_000133.png',1
7324,b'mushroom_s_000379.png',4
7330,b'plate_iron_s_000387.png',3
7332,b'tulipa_clusiana_s_000150.png',2
7334,b'sunflower_s_000085.png',2
7335,b'bowl_s_001632.png',3
7340,b'pear_s_000279.png',4
7341,b'alarm_clock_s_000026.png',5
7342,b'plate_iron_s_000293.png',3
7343,b'rainbow_trout_s_000813.png',1
7344,b'rosebush_s_000885.png',2
7345,b'telephone_set_s_000895.png',5
7346,b'halibut_s_000035.png',1
7355,b'butterfly_orchid_s_001677.png',2
7356,b'sweet_pepper_s_000044.png',4
7359,b'lady_tulip_s_000497.png',2
7367,b'goldfish_s_001902.png',1
7375,b'sweet_pepper_s_000640.png',4
7377,b'dessert_plate_s_000442.png',3
7381,b'mountain_rose_s_001239.png',2
7383,b'cichlid_s_001245.png',1
7385,b'shark_s_002305.png',1
7387,b'television_s_001020.png',5
7393,b'verpa_s_000969.png',4
7396,b'poppy_s_001373.png',2
7400,b'dessert_plate_s_000102.png',3
7406,b'fish_bowl_s_000136.png',3
7410,b'mushroom_s_001771.png',4
7414,b'anjou_s_001504.png',4
7415,b'sunflower_s_000652.png',2
7424,b'sweet_pepper_s_001782.png',4
7427,b'yellowtail_flounder_s_000264.png',1
7429,b'bowl_s_000493.png',3
7430,b'stingray_s_000549.png',1
7438,b'dessert_plate_s_000351.png',3
7442,b'sunflower_s_002126.png',2
7443,b'fishbowl_s_000574.png',3
7444,b'yellowtail_flounder_s_000242.png',1
7452,b'red_delicious_s_002298.png',4
7455,b'halibut_s_000577.png',1
7459,b'bowl_s_001571.png',3
7469,b'halibut_s_000301.png',1
7471,b'sunflower_s_000568.png',2
7475,b'goblet_s_000885.png',3
7476,b'fishbowl_s_000396.png',3
7480,b'cichlid_s_001513.png',1
7484,b'poppy_s_001031.png',2
7485,b'rosebush_s_000391.png',2
7488,b'saucer_s_000069.png',3
7493,b'computer_keyboard_s_001841.png',5
7495,b'sour_orange_s_000802.png',4
7498,b'mcintosh_s_000093.png',4
7499,b'alarm_clock_s_000710.png',5
7500,b'rose_s_001269.png',2
7513,b'soda_can_s_001205.png',3
7514,b'soda_can_s_000248.png',3
7516,b'chalice_s_001585.png',3
7525,b'mushroom_s_000656.png',4
7531,b'beaker_s_001932.png',3
7537,b'goblet_s_000026.png',3
7538,b'tulipa_clusiana_s_000358.png',2
7541,b'shortfin_mako_s_000481.png',1
7543,b'rainbow_trout_s_001968.png',1
7552,b'cichlid_fish_s_000048.png',1
7553,b'bell_pepper_s_001276.png',4
7555,b'soda_bottle_s_001092.png',3
7556,b'flatfish_s_001829.png',1
7560,b'mushroom_s_000980.png',4
7565,b'tulip_s_001759.png',2
7575,b'dessert_plate_s_000238.png',3
7577,b'red_delicious_s_000523.png',4
7578,b'bartlett_pear_s_000434.png',4
7581,b'dessert_plate_s_000049.png',3
7584,b'keyboard_s_001548.png',5
7586,b'sunflower_s_002048.png',2
7590,b'plate_s_002898.png',3
7596,b'bowl_s_000704.png',3
7600,b'computer_keyboard_s_001332.png',5
7608,b'telephone_set_s_000034.png',5
7609,b'television_system_s_001688.png',5
7610,b'alarm_clock_s_000050.png',5
7613,b'lamp_s_002120.png',5
7616,b'coffee_can_s_000481.png',3
7626,b'television_s_000494.png',5
7627,b'morchella_esculenta_s_001159.png',4
7631,b'butterfly_ray_s_000861.png',1
7635,b'verpa_s_000577.png',4
7639,b'clavier_s_000014.png',5
7642,b'orchid_s_000869.png',2
7643,b'electric_lamp_s_000712.png',5
7646,b'phone_s_001742.png',5
7657,b'rose_s_000526.png',2
7658,b'dessert_plate_s_000207.png',3
7660,b'sunflower_s_001285.png',2
7663,b'poppy_s_000220.png',2
7668,b'rosebush_s_001891.png',2
7671,b'sunflower_s_001058.png',2
7678,b'alarm_clock_s_000366.png',5
7683,b'goblet_s_001052.png',3
7685,b'cichlid_s_000363.png',1
7690,b'mako_shark_s_001357.png',1
7696,b'clock_s_001053.png',5
7705,b'alarm_clock_s_000117.png',5
7711,b'poppy_s_001615.png',2
7712,b'fishbowl_s_001263.png',3
7714,b'porbeagle_s_000281.png',1
7721,b'poppy_s_001324.png',2
7723,b'mackerel_shark_s_001034.png',1
7725,b'orchid_s_001125.png',2
7739,b'stingray_s_001780.png',1
7743,b'lamp_s_000158.png',5
7746,b'chalice_s_000011.png',3
7750,b'tv_s_000037.png',5
7752,b'stingray_s_000876.png',1
7756,b'citrus_aurantium_s_000621.png',4
7761,b'clock_s_000512.png',5
7768,b'stingray_s_001366.png',1
7784,b'alarm_clock_s_000913.png',5
7786,b'stingray_s_001386.png',1
7794,b'valencia_orange_s_000231.png',4
7799,b'chalice_s_001764.png',3
7811,b'television_s_002106.png',5
7815,b'orchid_s_001543.png',2
7822,b'beer_can_s_000553.png',3
7826,b'beer_can_s_002696.png',3
7827,b'trout_s_002615.png',1
7835,b'sweet_pepper_s_000538.png',4
7838,b'pear_s_001292.png',4
7839,b'lamp_s_000689.png',5
7847,b'orchid_s_000242.png',2
7849,b'cichlid_fish_s_000329.png',1
7855,b'anjou_s_000444.png',4
7858,b'phone_s_000708.png',5
7861,b'tulip_s_001546.png',2
7863,b'sweet_pepper_s_000181.png',4
7864,b'bowl_s_000214.png',3
7866,b'shark_s_000482.png',1
7868,b'pop_bottle_s_000495.png',3
7869,b'flatfish_s_002015.png',1
7872,b'plaice_s_001485.png',1
7878,b'fishbowl_s_002507.png',3
7879,b'valencia_orange_s_001674.png',4
7888,b'clock_s_000084.png',5
7895,b'milk_can_s_000134.png',3
7901,b'plate_s_003151.png',3
7904,b'english_sole_s_000054.png',1
7921,b'tulip_s_000026.png',2
7923,b'macoun_s_000688.png',4
7930,b'beer_can_s_000135.png',3
7933,b'pear_s_001984.png',4
7935,b'poppy_s_002631.png',2
7941,b'bowl_s_002227.png',3
7942,b'mako_shark_s_001111.png',1
7951,b'poppy_s_001842.png',2
7952,b'mushroom_s_001743.png',4
7956,b'goblet_s_000117.png',3
7958,b'bosc_s_000924.png',4
7959,b'sunflower_s_002056.png',2
7961,b'stingray_s_001310.png',1
7965,b'tv_s_000434.png',5
7971,b'bottle_s_001924.png',3
7972,b'bell_pepper_s_001322.png',4
7974,b'cichlid_fish_s_001205.png',1
7981,b'poppy_s_002221.png',2
7993,b'navel_orange_s_000075.png',4
7997,b'carassius_auratus_s_000061.png',1
7998,b'beer_bottle_s_001481.png',3
7999,b'keyboard_s_001144.png',5
8000,b'rainbow_trout_s_001090.png',1
8002,b'bell_pepper_s_001663.png',4
8005,b'tulipa_clusiana_s_000003.png',2
8006,b'mushroom_s_001278.png',4
8011,b'bowl_s_002731.png',3
8012,b'northern_spy_s_000648.png',4
8016,b'alarm_clock_s_000817.png',5
8017,b'navel_orange_s_000641.png',4
8021,b'rush_candle_s_000055.png',5
8027,b'dwarf_tulip_s_000215.png',2
8028,b'oilcan_s_001626.png',3
8031,b'keyboard_s_001017.png',5
8038,b'butterfly_orchid_s_001071.png',2
8041,b'shark_s_002241.png',1
8042,b'bottle_s_001176.png',3
8045,b'northern_spy_s_000693.png',4
8048,b'bowl_s_001048.png',3
8053,b'orchid_s_001878.png',2
8056,b'goblet_s_000988.png',3
8057,b'beer_can_s_000187.png',3
8059,b'sea_trout_s_000261.png',1
8061,b'sunflower_s_002410.png',2
8062,b'rainbow_trout_s_000441.png',1
8065,b'macoun_s_000024.png',4
8067,b'lamp_s_001122.png',5
8070,b'sunflower_s_002396.png',2
8072,b'lamp_s_000783.png',5
8075,b'poppy_s_002703.png',2
8078,b'sunflower_s_001618.png',2
8080,b'dwarf_tulip_s_000102.png',2
8082,b'clavier_s_000216.png',5
8084,b'tv_s_000776.png',5
8086,b'phone_s_000482.png',5
8088,b'clock_s_000903.png',5
8091,b'morchella_esculenta_s_000822.png',4
8092,b'poppy_s_001138.png',2
8098,b'flounder_s_000121.png',1
8099,b'sunflower_s_000149.png',2
8103,b'lamp_s_002081.png',5
8106,b'yellow_delicious_s_000694.png',4
8111,b'bottle_s_000951.png',3
8117,b'clock_s_000626.png',5
8120,b'soda_can_s_000274.png',3
8121,b'dessert_plate_s_000221.png',3
8122,b'turbot_s_000870.png',1
8126,b'clock_s_002014.png',5
8130,b'bartlett_pear_s_000393.png',4
8140,b'clock_s_000937.png',5
8144,b'goblet_s_001664.png',3
8145,b'tv_s_000066.png',5
8146,b'butterfly_orchid_s_000089.png',2
8147,b'discharge_lamp_s_000776.png',5
8149,b'phone_s_001134.png',5
8150,b'dessert_plate_s_000309.png',3
8155,b'plaice_s_000307.png',1
8156,b'shark_s_002047.png',1
8157,b'coffee_can_s_000012.png',3
8165,b'tulip_s_000961.png',2
8167,b'poppy_s_002246.png',2
8169,b'longfin_mako_s_000062.png',1
8170,b'sunflower_s_000548.png',2
8174,b'chalice_s_001093.png',3
8176,b'stingray_s_002488.png',1
8177,b'fishplate_s_000109.png',3
8180,b'red_delicious_s_000896.png',4
8192,b'cichlid_fish_s_000373.png',1
8195,b'tulip_s_000005.png',2
8196,b'valencia_orange_s_000352.png',4
8197,b'television_system_s_001250.png',5
8198,b'navel_orange_s_000298.png',4
8202,b'butterfly_orchid_s_000719.png',2
8204,b'bottle_s_001458.png',3
8206,b'stingray_s_000432.png',1
8207,b'sunflower_s_000214.png',2
8215,b'bell_pepper_s_001031.png',4
8224,b'mackerel_shark_s_000982.png',1
8226,b'tulipa_armena_s_000003.png',2
8234,b'rosebush_s_001024.png',2
8235,b'goblet_s_001347.png',3
8237,b'morchella_esculenta_s_001114.png',4
8250,b'beer_can_s_002113.png',3
8251,b'telephone_set_s_000104.png',5
8253,b'sunflower_s_001984.png',2
8254,b'lamp_s_001895.png',5
8257,b'sunflower_s_002315.png',2
8261,b'telephone_s_000577.png',5
8264,b'rose_s_001424.png',2
8269,b'rainbow_trout_s_000811.png',1
8270,b'bosc_s_001174.png',4
8272,b'tulip_s_000027.png',2
8280,b'plate_iron_s_000157.png',3
8281,b'shark_s_000003.png',1
8282,b'soda_can_s_000755.png',3
8289,b'navel_orange_s_001397.png',4
8290,b'rainbow_trout_s_001307.png',1
8291,b'sunflower_s_000089.png',2
8298,b'poppy_s_000806.png',2
8299,b'pear_s_001241.png',4
8303,b'telephone_s_000066.png',5
8305,b'mushroom_s_000442.png',4
8307,b'soda_bottle_s_000099.png',3
8309,b'pear_s_001167.png',4
8313,b'beer_bottle_s_001802.png',3
8319,b'sweet_pepper_s_000151.png',4
8320,b'tulipa_clusiana_s_000148.png',2
8323,b'guitarfish_s_000825.png',1
8328,b'tv_s_002223.png',5
8331,b'sunflower_s_000662.png',2
8334,b'verpa_s_001311.png',4
8337,b'jaffa_orange_s_000006.png',4
8341,b'clock_s_001772.png',5
8345,b'numbfish_s_000092.png',1
8347,b'chalice_s_002202.png',3
8353,b'cichlid_s_001433.png',1
8363,b'orchid_s_000949.png',2
8364,b'television_system_s_001697.png',5
8366,b'bartlett_pear_s_000032.png',4
8373,b'lamp_s_000529.png',5
8374,b'beer_bottle_s_002124.png',3
8379,b'telephone_set_s_000333.png',5
8381,b'poppy_s_000213.png',2
8386,b'television_system_s_000235.png',5
8389,b'clock_s_001632.png',5
8390,b'mushroom_s_000130.png',4
8395,b'poppy_s_002611.png',2
8401,b'bartlett_s_001449.png',4
8402,b'alarm_clock_s_000758.png',5
8409,b'red_delicious_s_001105.png',4
8411,b'clock_s_001693.png',5
8415,b'computer_keyboard_s_000023.png',5
8416,b'trout_s_002565.png',1
8422,b'computer_keyboard_s_001135.png',5
8429,b'clock_s_001626.png',5
8430,b'tulipa_clusiana_s_000403.png',2
8431,b'goldfish_s_000976.png',1
8433,b'orchid_s_000530.png',2
8436,b'clock_s_001385.png',5
8439,b'mountain_rose_s_000696.png',2
8448,b'telephone_set_s_000202.png',5
8449,b'fishplate_s_000722.png',3
8454,b'dessert_plate_s_000412.png',3
8455,b'halibut_s_000642.png',1
8456,b'fishbowl_s_001351.png',3
8458,b'bowl_s_002745.png',3
8460,b'verpa_bohemica_s_000020.png',4
8463,b'poppy_s_000725.png',2
8475,b'stingray_s_000839.png',1
8480,b'winter_flounder_s_000062.png',1
8484,b'numbfish_s_000025.png',1
8485,b'tulipa_clusiana_s_000405.png',2
8489,b'trout_s_002252.png',1
8492,b'lamp_s_001478.png',5
8496,b'dessert_plate_s_000121.png',3
8497,b'navel_orange_s_001150.png',4
8499,b'halibut_s_000313.png',1
8502,b'tulip_s_000442.png',2
8505,b'television_system_s_000189.png',5
8506,b'shark_s_001563.png',1
8507,b'morel_s_000812.png',4
8512,b'pearmain_s_000203.png',4
8518,b'sunflower_s_000250.png',2
8522,b'poppy_s_002254.png',2
8537,b'lamp_s_001861.png',5
8540,b'beer_bottle_s_000726.png',3
8541,b'rainbow_trout_s_000314.png',1
8542,b'beer_bottle_s_001090.png',3
8543,b'sponge_morel_s_000012.png',4
8544,b'electric_lamp_s_000357.png',5
8553,b'sunflower_s_001956.png',2
8557,b'poppy_s_000977.png',2
8560,b'electric_ray_s_000424.png',1
8563,b'shark_s_000426.png',1
8566,b'shark_s_001496.png',1
8573,b'sunflower_s_002369.png',2
8574,b'tulip_s_001424.png',2
8576,b'beer_bottle_s_000508.png',3
8577,b'oilcan_s_000646.png',3
8580,b'sunflower_s_001090.png',2
8581,b'sunflower_s_000552.png',2
8587,b'sea_trout_s_000204.png',1
8590,b'beer_bottle_s_000963.png',3
8591,b'plaice_s_000533.png',1
8599,b'goldfish_s_000186.png',1
8603,b'alarm_clock_s_000908.png',5
8605,b'goblet_s_000814.png',3
8606,b'bell_pepper_s_000404.png',4
8610,b'orchid_s_000212.png',2
8612,b'bowl_s_001282.png',3
8617,b'northern_spy_s_000750.png',4
8633,b'soda_can_s_001963.png',3
8637,b'red_delicious_s_000008.png',4
8638,b'clock_s_001446.png',5
8656,b'alarm_clock_s_000634.png',5
8659,b'soda_can_s_000318.png',3
8664,b'valencia_orange_s_001167.png',4
8669,b'valencia_orange_s_000235.png',4
8671,b'orchid_s_000206.png',2
8678,b'plaice_s_000770.png',1
8679,b'cup_s_001905.png',3
8683,b'keyboard_s_001496.png',5
8689,b'television_s_001188.png',5
8691,b'rose_s_000172.png',2
8692,b'guitarfish_s_000726.png',1
8696,b'bell_pepper_s_001194.png',4
8702,b'soda_can_s_000029.png',3
8704,b'discharge_lamp_s_000584.png',5
8706,b'clock_s_000146.png',5
8707,b'bowl_s_001563.png',3
8709,b'saucer_s_001394.png',3
8713,b'cichlid_s_001697.png',1
8714,b'beer_bottle_s_001877.png',3
8722,b'rosebush_s_001638.png',2
8727,b'sunflower_s_002059.png',2
8733,b'bartlett_pear_s_000131.png',4
8734,b'soda_can_s_000190.png',3
8738,b'orange_tree_s_000354.png',4
8742,b'sweet_pepper_s_001036.png',4
8752,b'carassius_auratus_s_000112.png',1
8753,b'pear_s_000717.png',4
8754,b'desk_phone_s_000699.png',5
8756,b'lady_tulip_s_000104.png',2
8763,b'bell_pepper_s_000457.png',4
8765,b'surveillance_system_s_000296.png',5
8768,b'pear_s_000391.png',4
8771,b'bartlett_pear_s_000355.png',4
8772,b'cichlid_s_000482.png',1
8773,b'bartlett_pear_s_000083.png',4
8774,b'lady_tulip_s_000475.png',2
8787,b'halibut_s_000178.png',1
8791,b'butterfly_orchid_s_001568.png',2
8793,b'verpa_bohemica_s_000395.png',4
8796,b'bell_pepper_s_000074.png',4
8802,b'desk_phone_s_000012.png',5
8812,b'guitarfish_s_000774.png',1
8817,b'rose_s_000939.png',2
8825,b'stingray_s_001364.png',1
8835,b'cichlid_s_000392.png',1
8836,b'lamp_s_001880.png',5
8837,b'soda_bottle_s_000824.png',3
8842,b'halibut_s_000348.png',1
8845,b'telephone_s_001075.png',5
8847,b'macoun_s_000027.png',4
8853,b'bowl_s_002516.png',3
8857,b'mushroom_s_001296.png',4
8865,b'fishplate_s_000630.png',3
8866,b'valencia_orange_s_000237.png',4
8872,b'lamp_s_001570.png',5
8886,b'rainbow_trout_s_000038.png',1
8890,b'soda_can_s_000174.png',3
8895,b'navel_orange_s_000846.png',4
8898,b'bottle_s_001616.png',3
8903,b'chalice_s_001163.png',3
8910,b'orchid_s_000832.png',2
8919,b'tv_s_000278.png',5
8920,b'alarm_clock_s_000084.png',5
8921,b'beer_can_s_001493.png',3
8925,b'whiskey_bottle_s_000900.png',3
8926,b'mako_shark_s_000112.png',1
8929,b'beer_can_s_000977.png',3
8942,b'clock_s_001379.png',5
8952,b'bell_pepper_s_001600.png',4
8956,b'television_s_002497.png',5
8957,b'macoun_s_001006.png',4
8962,b'computer_keyboard_s_001759.png',5
8964,b'tulip_s_000013.png',2
8967,b'cichlid_fish_s_000959.png',1
8977,b'jaffa_orange_s_000235.png',4
8980,b'dessert_plate_s_000265.png',3
8981,b'dwarf_tulip_s_000029.png',2
8986,b'tulip_s_000072.png',2
8994,b'dessert_plate_s_000359.png',3
8998,b'mushroom_s_000887.png',4
9002,b'tulipa_clusiana_s_000010.png',2
9003,b'pear_s_000171.png',4
9004,b'cichlid_fish_s_000938.png',1
9016,b'soda_bottle_s_000183.png',3
9018,b'lamp_s_000484.png',5
9029,b'trout_s_002864.png',1
9034,b'stingray_s_001230.png',1
9036,b'electric_lamp_s_000630.png',5
9038,b'clock_s_001554.png',5
9044,b'fishbowl_s_002343.png',3
9046,b'navel_orange_s_000201.png',4
9057,b'cichlid_s_001426.png',1
9059,b'rosebush_s_000245.png',2
9062,b'northern_spy_s_000879.png',4
9069,b'lamp_s_000735.png',5
9070,b'television_s_002420.png',5
9072,b'mushroom_s_000893.png',4
9075,b'soda_can_s_001047.png',3
9077,b'plaice_s_001654.png',1
9080,b'verpa_s_000962.png',4
9082,b'orchid_s_000638.png',2
9084,b'plate_iron_s_001583.png',3
9092,b'electric_ray_s_000355.png',1
9097,b'beer_bottle_s_000006.png',3
9104,b'alarm_clock_s_000925.png',5
9105,b'poppy_s_000804.png',2
9109,b'bottle_s_000723.png',3
9110,b'lamp_s_001492.png',5
9111,b'sunflower_s_000326.png',2
9113,b'phone_s_000182.png',5
9117,b'tulip_s_000043.png',2
9123,b'plaice_s_000553.png',1
9124,b'mountain_rose_s_000311.png',2
9125,b'beer_bottle_s_000341.png',3
9128,b'shark_s_001099.png',1
9130,b'sea_trout_s_000284.png',1
9131,b'beer_bottle_s_001727.png',3
9133,b'winter_flounder_s_000064.png',1
9138,b'thermos_s_000140.png',3
9158,b'lamp_s_000495.png',5
9159,b'telephone_set_s_001018.png',5
9163,b'goblet_s_000583.png',3
9164,b'cichlid_s_001793.png',1
9165,b'carassius_auratus_s_000264.png',1
9166,b'soda_can_s_000069.png',3
9171,b'alarm_clock_s_000608.png',5
9172,b'shortfin_mako_s_000613.png',1
9174,b'stingray_s_002337.png',1
9178,b'bottle_s_000165.png',3
9179,b'orchis_s_000088.png',2
9181,b'stingray_s_002319.png',1
9183,b'fish_bowl_s_000093.png',3
9202,b'bottle_s_002206.png',3
9204,b'clock_s_000720.png',5
9209,b'bowl_s_000719.png',3
9211,b'rose_s_000430.png',2
9216,b'bell_pepper_s_000203.png',4
9221,b'clock_s_000206.png',5
9232,b'mushroom_s_000567.png',4
9234,b'plate_iron_s_000103.png',3
9235,b'rose_s_001813.png',2
9236,b'macoun_s_000070.png',4
9237,b'bartlett_pear_s_000107.png',4
9239,b'orchid_s_000118.png',2
9245,b'sea_trout_s_000469.png',1
9250,b'bowl_s_002620.png',3
9260,b'poppy_s_000137.png',2
9261,b'beer_can_s_002041.png',3
9264,b'trout_s_002758.png',1
9267,b'disciotis_venosa_s_000181.png',4
9270,b'orchid_s_000342.png',2
9298,b'bell_pepper_s_000587.png',4
9305,b'alarm_clock_s_000825.png',5
9306,b'poppy_s_001146.png',2
9309,b'rose_s_001696.png',2
9315,b'tulip_s_001241.png',2
9320,b'television_s_002837.png',5
9322,b'clock_s_001296.png',5
9324,b'cortland_s_000136.png',4
9330,b'shark_s_001624.png',1
9331,b'numbfish_s_000088.png',1
9332,b'beaker_s_000290.png',3
9336,b'telephone_set_s_000532.png',5
9341,b'poppy_s_001322.png',2
9346,b'orchid_s_000210.png',2
9350,b'tulip_s_000467.png',2
9352,b'goldfish_s_002787.png',1
9355,b'mushroom_s_002091.png',4
9359,b'television_s_002259.png',5
9364,b'bell_pepper_s_000669.png',4
9367,b'tulipa_clusiana_s_000114.png',2
9368,b'verpa_bohemica_s_000223.png',4
9369,b'television_s_000824.png',5
9370,b'sweet_pepper_s_000201.png',4
9371,b'goblet_s_001531.png',3
9381,b'dessert_plate_s_000182.png',3
9386,b'bowl_s_000296.png',3
9388,b'carassius_auratus_s_000180.png',1
9389,b'coffee_can_s_000768.png',3
9391,b'cichlid_fish_s_001567.png',1
9394,b'butterfly_orchid_s_001366.png',2
9395,b'orchid_s_000046.png',2
9397,b'whiskey_bottle_s_000918.png',3
9404,b'macoun_s_000041.png',4
9410,b'poppy_s_002025.png',2
9411,b'mushroom_s_000711.png',4
9417,b'valencia_orange_s_001679.png',4
9418,b'cichlid_s_000930.png',1
9424,b'goblet_s_001693.png',3
9426,b'golden_delicious_s_001608.png',4
9432,b'stingray_s_000040.png',1
9435,b'bell_pepper_s_000143.png',4
9438,b'television_s_002135.png',5
9451,b'poppy_s_000921.png',2
9453,b'cup_s_002218.png',3
9456,b'flounder_s_001786.png',1
9461,b'chalice_s_000488.png',3
9470,b'cortland_s_000525.png',4
9477,b'milk_can_s_001319.png',3
9478,b'sour_orange_s_000795.png',4
9483,b'stingray_s_000048.png',1
9484,b'television_s_001509.png',5
9489,b'poppy_s_001174.png',2
9492,b'rosebush_s_001987.png',2
9498,b'cichlid_fish_s_001491.png',1
9499,b'electric_lamp_s_000135.png',5
9506,b'tulip_s_001107.png',2
9512,b'sunflower_s_001507.png',2
9517,b'cable_television_s_000078.png',5
9519,b'poppy_s_001894.png',2
9522,b'surveillance_system_s_000918.png',5
9531,b'beer_bottle_s_000121.png',3
9537,b'flounder_s_000867.png',1
9541,b'sunflower_s_000667.png',2
9545,b'anjou_s_001521.png',4
9546,b'tv_s_002764.png',5
9547,b'whiskey_bottle_s_000397.png',3
9548,b'milk_can_s_000236.png',3
9550,b'phone_s_000815.png',5
9562,b'rosebush_s_002264.png',2
9564,b'butterfly_orchid_s_001020.png',2
9565,b'citrus_aurantium_s_000074.png',4
9567,b'telephone_set_s_000404.png',5
9573,b'rosebush_s_001330.png',2
9575,b'beer_bottle_s_001567.png',3
9581,b'rose_s_001402.png',2
9596,b'bartlett_pear_s_000595.png',4
9607,b'dessert_plate_s_000004.png',3
9610,b'television_s_001479.png',5
